time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-04T19:28:05.269Z,31.67562304,-104.4059478,6.440063477,2.5,ml,19,56,0.08114175854,0.3,tx,tx2021xtfb,2021-12-06T19:20:00.790Z,"55 km S of Whites City, New Mexico",earthquake,1.0543849750000003,1.277024427,0.1,12,reviewed,tx,tx
2021-12-04T12:45:44.774Z,31.73383553,-104.0902787,6.697143555000001,2.5,ml,19,63,0.02941437069,0.3,tx,tx2021xsru,2021-12-06T19:30:56.668Z,"46 km W of Mentone, Texas",earthquake,0.8612483918,0.6901811865000002,0.2,12,reviewed,tx,tx
2021-12-04T11:16:57.780Z,32.8806667,-115.5145,11.81,2.78,ml,44,45,0.04407,0.28,ci,ci39878623,2021-12-06T22:00:02.610Z,"6km NE of Imperial, CA",earthquake,0.33,0.47,0.141,26,reviewed,ci,ci
2021-12-04T10:32:26.246Z,38.7037,-97.5874,5,2.5,mb_lg,,148,0.717,0.33,us,us6000g902,2021-12-04T11:11:31.040Z,"2 km NNE of Assaria, Kansas",earthquake,1.4,1.9,0.208,6,reviewed,us,us
2021-12-04T09:27:32.370Z,32.5955,-115.2983333,19.82,3.13,ml,46,43,0.1031,0.29,ci,ci39878559,2021-12-05T17:12:33.257Z,"6km NE of Puebla, B.C., MX",earthquake,0.34,0.5,0.142,73,reviewed,ci,ci
2021-12-04T09:25:10.030Z,32.5905,-115.2965,19.6,2.77,ml,38,43,0.1083,0.27,ci,ci39878543,2021-12-06T21:24:35.470Z,"6km ENE of Puebla, B.C., MX",earthquake,0.38,0.58,0.195,25,reviewed,ci,ci
2021-12-04T09:20:01.850Z,32.5831667,-115.2921667,18.92,3.17,ml,47,43,0.1164,0.3,ci,ci39878511,2021-12-07T16:09:16.773Z,"6km ENE of Puebla, B.C., MX",earthquake,0.36,0.59,0.124,75,reviewed,ci,ci
2021-12-04T09:13:26.540Z,32.5841667,-115.2951667,19.34,2.76,ml,36,78,0.1147,0.27,ci,ci39878471,2021-12-06T19:49:48.120Z,"6km ENE of Puebla, B.C., MX",earthquake,0.43,0.73,0.215,25,reviewed,ci,ci
2021-12-04T08:11:27.101Z,24.9673,-109.3304,10,5.1,mww,,174,3.511,1.01,us,us6000g8z7,2021-12-05T06:17:34.040Z,"75 km SSW of Topolobampo, Mexico",earthquake,8.2,1.9,0.046,46,reviewed,us,us
2021-12-04T07:58:34.776Z,29.9036,-113.6376,10,4.6,mb,,154,1.541,0.82,us,us6000g8yu,2021-12-04T08:19:07.040Z,"91 km W of La Libertad, Mexico",earthquake,2.6,2,0.152,13,reviewed,us,us
2021-12-04T05:34:19.664Z,31.59993226,-104.2245283,7.314135742,3.1,ml,37,69,0.1594125692,0.2,tx,tx2021xsdn,2021-12-06T20:21:12.228Z,"western Texas",earthquake,0.8063945243000001,1.036727633,0.2,23,reviewed,tx,tx
2021-12-04T04:22:02.623Z,31.86126709,-101.7141054,11.22473145,2.5,ml,18,117,0.137697684,0.2,tx,tx2021xsbe,2021-12-06T19:25:23.795Z,"22 km W of Garden City, Texas",earthquake,1.278875678,1.8359197869999997,0.2,13,reviewed,tx,tx
2021-12-04T02:05:23.910Z,44.9938333,-113.0286667,7.11,2.56,ml,24,57,0.21,0.24,mb,mb80532669,2021-12-04T18:29:49.050Z,"39 km SW of Dillon, Montana",earthquake,0.39,0.93,0.19,22,reviewed,mb,mb
2021-12-03T23:53:47.989Z,31.66123724,-104.4268092,5.308911133,3.1,ml,30,139,0.06348622874,0.3,tx,tx2021xrsi,2021-12-04T00:14:34.398Z,"57 km S of Whites City, New Mexico",earthquake,0.9214598376,1.119097484,0.2,19,reviewed,tx,tx
2021-12-03T11:54:33.590Z,36.2478333,-92.8773333,4.57,2.75,md,32,74,0.1099,0.19,nm,nm60364832,2021-12-07T00:50:30.854Z,"2 km W of Pyatt, Arkansas",earthquake,0.41,0.61,0.075,14,reviewed,nm,nm
2021-12-03T00:14:51.010Z,31.8691667,-116.1776667,14.78,2.83,ml,16,126,0.2375,0.25,ci,ci39877063,2021-12-05T06:00:30.040Z,"40km ENE of Maneadero, B.C., MX",earthquake,0.54,1.15,0.125,26,reviewed,ci,ci
2021-12-02T18:34:35.760Z,36.8933334,-121.6194992,1.82,2.5,md,10,104,0.05059,0.05,nc,nc73658931,2021-12-02T22:39:05.504Z,"2km ENE of Aromas, CA",earthquake,0.34,1.08,0.14,7,automatic,nc,nc
2021-12-02T04:22:42.525Z,39.1438,-98.58,5,2.6,mb_lg,,118,0.727,0.51,us,us6000g8cl,2021-12-06T04:03:42.040Z,"10 km ENE of Luray, Kansas",earthquake,2.8,1.9,0.136,14,reviewed,us,us
2021-12-02T04:16:08.740Z,31.60706974,-104.5153357,8.111083984,2.8,ml,23,74,0.06287521409,0.3,tx,tx2021xojz,2021-12-06T20:49:11.367Z,"64 km SSW of Whites City, New Mexico",earthquake,1.802913051,1.2474221670000003,0.1,14,reviewed,tx,tx
2021-12-01T08:56:17.445Z,31.9845714,-103.8697257,7.725463867,3,ml,28,42,0.05700713436,0.2,tx,tx2021xmxs,2021-12-02T12:54:51.450Z,"32 km SE of Malaga, New Mexico",earthquake,0.8553636447,0.9225490219,0.2,18,reviewed,tx,tx
2021-12-01T08:16:37.040Z,35.9526667,-89.9236667,11.22,2.64,md,63,41,0.03794,0.11,nm,nm60364612,2021-12-02T19:36:48.372Z,"2 km N of Blytheville, Arkansas",earthquake,0.18,0.31,0.078,52,reviewed,nm,nm
2021-12-01T07:55:42.099Z,31.67945261,-104.3822948,6.182983398,3.1,ml,44,68,0.1015818321,0.3,tx,tx2021xmvs,2021-12-02T12:49:35.892Z,"55 km S of Whites City, New Mexico",earthquake,0.7843647492,1.032622598,0.2,26,reviewed,tx,tx
2021-12-01T03:30:13.360Z,38.7928352,-122.7304993,1.93,2.55,md,55,47,0.01075,0.06,nc,nc73658306,2021-12-01T12:40:42.763Z,"3km NE of The Geysers, CA",earthquake,0.14,0.26,0.18,37,automatic,nc,nc
2021-12-01T01:39:48.580Z,35.6755,-117.5241667,9.49,2.78,ml,40,69,0.1022,0.11,ci,ci39875151,2021-12-01T16:47:52.217Z,"15km SW of Searles Valley, CA",earthquake,0.14,0.37,0.182,25,reviewed,ci,ci
2021-12-01T01:23:41.210Z,35.6763333,-117.5245,9.12,3.19,ml,44,69,0.103,0.13,ci,ci39875135,2021-12-01T21:11:58.206Z,"15km SW of Searles Valley, CA",earthquake,0.13,0.34,0.136,269,reviewed,ci,ci
2021-11-30T21:20:52.975Z,31.679394,-104.3914464,6.388647461,3.2,ml,20,68,0.0938220362,0.3,tx,tx2021xmau,2021-12-03T02:01:14.040Z,"55 km S of Whites City, New Mexico",earthquake,1.005794591,1.264725765,0.2,12,reviewed,tx,tx
2021-11-30T21:06:36.897Z,31.67074817,-104.3779115,6.74855957,2.7,ml,21,69,0.104761872,0.2,tx,tx2021xmah,2021-12-03T20:01:06.331Z,"55 km S of Whites City, New Mexico",earthquake,1.001334814,1.401960432,0.2,16,reviewed,tx,tx
2021-11-30T19:37:34.756Z,44.9932,-113.0791,9.37,3.3,ml,,22,0.232,0.68,us,us6000g7ze,2021-11-30T22:09:31.360Z,"41 km NNE of Leadore, Idaho",earthquake,2,8.4,0.033,124,reviewed,us,us
2021-11-30T16:07:02.280Z,37.1636658,-121.5575027,1.36,2.74,md,50,37,0.05508,0.1,nc,nc73660155,2021-12-01T16:01:51.260Z,"9km ENE of Morgan Hill, CA",earthquake,0.19,0.69,0.12,70,automatic,nc,nc
2021-11-30T10:11:11.900Z,36.0453333,-117.8713333,3.49,2.78,ml,36,34,0.04057,0.12,ci,ci39874375,2021-12-07T09:49:31.040Z,"7km E of Coso Junction, CA",earthquake,0.14,0.33,0.205,25,reviewed,ci,ci
2021-11-30T09:13:00.330Z,36.46333333,-98.78216667,6,2.53,ml,98,37,0,0.21,ok,ok2021xlct,2021-11-30T14:13:18.107Z,"15 km SSE of Waynoka, Oklahoma",earthquake,,0.3,0.22,40,reviewed,ok,ok
2021-11-30T03:30:27.380Z,37.9098333,-122.2888333,4.88,2.5,md,102,21,0.01465,0.09,nc,nc73659805,2021-12-05T04:42:56.214Z,"1km W of Kensington, CA",earthquake,0.11,0.15,0.123,81,reviewed,nc,nc
2021-11-30T02:21:37.140Z,37.5735,-118.6291667,12.76,2.74,md,28,62,0.0983,0.08,nc,nc73659755,2021-12-01T04:22:11.247Z,"5km ENE of Toms Place, CA",earthquake,0.38,0.72,0.162,48,reviewed,nc,nc
